,uf,ano,carteira_ativa
0,AC,2012,32161058891.629997
1,AC,2013,65875922854.14
2,AC,2014,73558556062.55
3,AC,2015,79093693953.3
4,AC,2016,77714748201.88
5,AC,2017,75465183041.22
6,AC,2018,77582770588.7
7,AC,2019,85088312917.88
8,AC,2020,94805378910.70999
9,AC,2021,113347917747.68001
10,AC,2022,139884654350.99
11,AC,2023,108177326046.84
12,AL,2012,103364342422.92
13,AL,2013,198014505717.33
14,AL,2014,226317922175.41998
15,AL,2015,241782732672.77
16,AL,2016,241890889470.33
17,AL,2017,246671017585.94
18,AL,2018,256028619204.23
19,AL,2019,273786343182.69998
20,AL,2020,300275923786.31
21,AL,2021,358548534434.89
22,AL,2022,430911116442.68
23,AL,2023,324739931210.11
24,AM,2012,147912915564.97
25,AM,2013,271194909564.00998
26,AM,2014,292462854812.08997
27,AM,2015,303843867393.08
28,AM,2016,290636877929.48
29,AM,2017,282765352915.74
30,AM,2018,293462936013.31
31,AM,2019,323546285596.25
32,AM,2020,382651300693.85
33,AM,2021,459029050063.7
34,AM,2022,562066118488.89
35,AM,2023,408630290891.52997
36,AP,2012,26916275822.63
37,AP,2013,55317518671.32
38,AP,2014,71412407311.21
39,AP,2015,82832540230.08
40,AP,2016,84556325879.92
41,AP,2017,84596234247.07
42,AP,2018,86756495387.95999
43,AP,2019,91820829760.36
44,AP,2020,99850110191.62
45,AP,2021,118292534219.77
46,AP,2022,139266576028.5
47,AP,2023,103320228215.84
48,BA,2012,568527892603.95
49,BA,2013,1115603328294.82
50,BA,2014,1282735996487.24
51,BA,2015,1350631601861.58
52,BA,2016,1314439773203.35
53,BA,2017,1265886805813.68
54,BA,2018,1285974431759.02
55,BA,2019,1425560876599.67
56,BA,2020,1568436731769.02
57,BA,2021,1827388578718.99
58,BA,2022,2176451725659.24
59,BA,2023,1615272963923.48
60,CE,2012,290153932936.32
61,CE,2013,556759099799.11
62,CE,2014,641985211829.78
63,CE,2015,735510110598.8
64,CE,2016,774440849092.6901
65,CE,2017,801690171458.09
66,CE,2018,839056629841.13
67,CE,2019,878622260561.7
68,CE,2020,971647535434.26
69,CE,2021,1117564114345.75
70,CE,2022,1303319748604.73
71,CE,2023,935413700497.65
72,DF,2012,363876300238.9
73,DF,2013,766850278526.47
74,DF,2014,1001497879004.71
75,DF,2015,1199187356144.19
76,DF,2016,1229821727552.06
77,DF,2017,1222050437766.43
78,DF,2018,1207572968608.63
79,DF,2019,1231891438377.05
80,DF,2020,1312785770813.02
81,DF,2021,1441104559991.67
82,DF,2022,1584562706709.97
83,DF,2023,1114081780634.51
84,ES,2012,248649339827.66
85,ES,2013,484947594113.54004
86,ES,2014,561605735224.38
87,ES,2015,594176366077.55
88,ES,2016,579119412508.9199
89,ES,2017,557146056450.63
90,ES,2018,575800233075.0
91,ES,2019,612476588128.8201
92,ES,2020,667387821535.91
93,ES,2021,800988906151.3201
94,ES,2022,948943920838.03
95,ES,2023,678034582203.47
96,GO,2012,499640085262.09
97,GO,2013,970267925906.97
98,GO,2014,1147354024019.02
99,GO,2015,1282957368811.25
100,GO,2016,1295289064434.87
101,GO,2017,1313650377869.35
102,GO,2018,1404915605057.01
103,GO,2019,1534726498495.42
104,GO,2020,1744677069235.3699
105,GO,2021,2115760653075.0898
106,GO,2022,2575563520177.35
107,GO,2023,1929617552665.35
108,MA,2012,172745144014.6
109,MA,2013,337916151641.24
110,MA,2014,389072159875.69
111,MA,2015,434552998197.57
112,MA,2016,411801854662.28
113,MA,2017,440095356210.62
114,MA,2018,465896287819.96
115,MA,2019,503315429366.19
116,MA,2020,543567826837.12
117,MA,2021,655041243303.42
118,MA,2022,826608981213.3301
119,MA,2023,638416736512.64
120,MG,2012,1425602128404.47
121,MG,2013,2739249143537.37
122,MG,2014,3113961846170.01
123,MG,2015,3356752539873.63
124,MG,2016,3383519333289.73
125,MG,2017,3276882689220.16
126,MG,2018,3378179999156.98
127,MG,2019,3524848430932.46
128,MG,2020,3914149632803.19
129,MG,2021,4643525201389.46
130,MG,2022,5449771052308.26
131,MG,2023,3934539766954.42
132,MS,2012,204202087914.23
133,MS,2013,406666039917.48
134,MS,2014,475459231800.41003
135,MS,2015,518285651802.35
136,MS,2016,539863512540.29
137,MS,2017,560403258215.45
138,MS,2018,592783806323.73
139,MS,2019,651141313138.9
140,MS,2020,735153999671.24
141,MS,2021,896484809598.21
142,MS,2022,1099371109044.23
143,MS,2023,831484129807.38
144,MT,2012,347302191798.31
145,MT,2013,675033059951.29
146,MT,2014,795006922739.96
147,MT,2015,885419316136.1901
148,MT,2016,886490078252.51
149,MT,2017,933848260739.9299
150,MT,2018,1045526471461.6901
151,MT,2019,1195848924713.6
152,MT,2020,1464719909149.17
153,MT,2021,1672550823629.62
154,MT,2022,2020660669904.3198
155,MT,2023,1518337486697.76
156,PA,2012,223415257071.91998
157,PA,2013,420622374539.14
158,PA,2014,479597731706.21
159,PA,2015,507349450769.83
160,PA,2016,504168728697.13
161,PA,2017,506371222871.07
162,PA,2018,540197528395.85
163,PA,2019,597636306333.52
164,PA,2020,689331786813.39
165,PA,2021,871550604378.1799
166,PA,2022,1110305290758.59
167,PA,2023,863733809569.8
168,PB,2012,116532590439.1
169,PB,2013,227767570676.1
170,PB,2014,274767204131.17
171,PB,2015,309718136211.63
172,PB,2016,323563611455.36
173,PB,2017,330541589003.5
174,PB,2018,352804883522.45
175,PB,2019,384282328493.91
176,PB,2020,417140478134.05
177,PB,2021,496618489890.41
178,PB,2022,585481115908.12
179,PB,2023,431374156151.05
180,PE,2012,444137510904.4
181,PE,2013,843547792305.1799
182,PE,2014,832303115431.55
183,PE,2015,857219266443.5599
184,PE,2016,848229476174.6799
185,PE,2017,839792370571.04
186,PE,2018,853667268143.92
187,PE,2019,892261345846.4299
188,PE,2020,962045970449.72
189,PE,2021,1123327941056.59
190,PE,2022,1350610607897.67
191,PE,2023,990094075276.4
192,PI,2012,78812317977.05
193,PI,2013,156698338174.24
194,PI,2014,186326568273.06
195,PI,2015,213823825639.28
196,PI,2016,224198121724.82
197,PI,2017,233845693010.78
198,PI,2018,246677873880.6
199,PI,2019,269326413712.02
200,PI,2020,300583656318.73
201,PI,2021,369113820064.64
202,PI,2022,463430747906.04
203,PI,2023,350288641752.66
204,PR,2012,1035615399981.72
205,PR,2013,2025145187704.83
206,PR,2014,2339893809482.14
207,PR,2015,2513293131056.87
208,PR,2016,2517820365228.5
209,PR,2017,2519811896087.29
210,PR,2018,2610326794466.69
211,PR,2019,2808804003763.18
212,PR,2020,3206887524217.72
213,PR,2021,3830405751710.78
214,PR,2022,4527876571110.74
215,PR,2023,3314125425089.35
216,RJ,2012,1829290906483.24
217,RJ,2013,3550582256814.1997
218,RJ,2014,4212685998940.98
219,RJ,2015,4948915318412.07
220,RJ,2016,5133903713298.1
221,RJ,2017,4609851636543.47
222,RJ,2018,4424292036648.27
223,RJ,2019,4384315622007.5703
224,RJ,2020,4765231069732.49
225,RJ,2021,5092484689288.38
226,RJ,2022,5410948384590.95
227,RJ,2023,3734322067801.53
228,RN,2012,132560311982.62
229,RN,2013,268647825311.17
230,RN,2014,323056368379.79
231,RN,2015,343963883504.64
232,RN,2016,358809643081.9
233,RN,2017,361231726542.26
234,RN,2018,372881459429.76
235,RN,2019,389125383048.33
236,RN,2020,415541046302.79
237,RN,2021,486395280670.61
238,RN,2022,568815973727.06
239,RN,2023,415031379167.76
240,RO,2012,62206973802.25
241,RO,2013,124215958385.29
242,RO,2014,149400809853.81
243,RO,2015,168761667213.49
244,RO,2016,192367824486.32
245,RO,2017,200606194650.6
246,RO,2018,220254343439.91998
247,RO,2019,256531218601.21
248,RO,2020,297004547835.9
249,RO,2021,376700859042.5
250,RO,2022,485025221119.06
251,RO,2023,370469609718.35
252,RR,2012,25452000933.39
253,RR,2013,53935158129.29
254,RR,2014,57645309658.94
255,RR,2015,55485850389.78
256,RR,2016,56564229663.27
257,RR,2017,57742607657.64
258,RR,2018,60387953709.44
259,RR,2019,63462303383.84
260,RR,2020,68687454958.01
261,RR,2021,82737742620.03
262,RR,2022,103852421371.70999
263,RR,2023,83398453568.43001
264,RS,2012,1002922540721.48
265,RS,2013,1950684852679.53
266,RS,2014,2231287403632.7603
267,RS,2015,2384815746984.2
268,RS,2016,2387712038015.86
269,RS,2017,2373824249615.93
270,RS,2018,2444883500814.31
271,RS,2019,2651197163917.34
272,RS,2020,2969565465410.97
273,RS,2021,3490199580539.0
274,RS,2022,4130205107474.55
275,RS,2023,3023600355910.41
276,SC,2012,734676066971.29
277,SC,2013,1391096770508.45
278,SC,2014,1578917071755.01
279,SC,2015,1702684592826.26
280,SC,2016,1732271384994.23
281,SC,2017,1729976976735.17
282,SC,2018,1806829081250.48
283,SC,2019,2001344928899.45
284,SC,2020,2281963381632.37
285,SC,2021,2737038265575.86
286,SC,2022,3216253986552.31
287,SC,2023,2333550372845.41
288,SE,2012,87559458224.19
289,SE,2013,171298989017.31
290,SE,2014,199911535962.89
291,SE,2015,207758107419.91
292,SE,2016,212680671148.59
293,SE,2017,213329240496.32
294,SE,2018,215948166437.02
295,SE,2019,226793283546.78
296,SE,2020,243998005295.91
297,SE,2021,287333906257.29
298,SE,2022,341561999758.61
299,SE,2023,253817533200.83
300,SP,2012,4877879501726.99
301,SP,2013,9127347565256.8
302,SP,2014,10329773532972.24
303,SP,2015,11076151508909.41
304,SP,2016,11251749895104.29
305,SP,2017,11017496783549.19
306,SP,2018,11164306508382.91
307,SP,2019,11723510647953.46
308,SP,2020,13084499925288.86
309,SP,2021,15236229668454.41
310,SP,2022,17347111603000.42
311,SP,2023,12252707652958.93
312,TO,2012,67576616608.79
313,TO,2013,137489711976.97
314,TO,2014,159677559876.4
315,TO,2015,177632141725.85
316,TO,2016,183247026540.22
317,TO,2017,182616385282.89
318,TO,2018,188081104367.38
319,TO,2019,201939922342.63
320,TO,2020,227576748254.66
321,TO,2021,290180375718.42
322,TO,2022,371989039472.07
323,TO,2023,292529212273.73
